DATE,CMDEBT
1970-01-01,451256.0
1970-04-01,453903.0
1970-07-01,459349.0
1970-10-01,467157.0
1971-01-01,475664.0
1971-04-01,485229.0
1971-07-01,496017.0
1971-10-01,511303.0
1972-01-01,524671.0
1972-04-01,540098.0
1972-07-01,553144.0
1972-10-01,571260.0
1973-01-01,590517.0
1973-04-01,604553.0
1973-07-01,620759.0
1973-10-01,636669.0
1974-01-01,649073.0
1974-04-01,664213.0
1974-07-01,678860.0
1974-10-01,691463.0
1975-01-01,700256.0
1975-04-01,708387.0
1975-07-01,724097.0
1975-10-01,747467.0
1976-01-01,767638.0
1976-04-01,788201.0
1976-07-01,808287.0
1976-10-01,836251.0
1977-01-01,864809.0
1977-04-01,897922.0
1977-07-01,931219.0
1977-10-01,966499.0
1978-01-01,1002802.0
1978-04-01,1046971.0
1978-07-01,1088856.0
1978-10-01,1128011.0
1979-01-01,1170217.0
1979-04-01,1211369.0
1979-07-01,1255569.0
1979-10-01,1296896.0
1980-01-01,1338608.0
1980-04-01,1352030.0
1980-07-01,1381252.0
1980-10-01,1420187.0
1981-01-01,1442338.0
1981-04-01,1474872.0
1981-07-01,1498878.0
1981-10-01,1526550.0
1982-01-01,1545004.0
1982-04-01,1564464.0
1982-07-01,1567289.0
1982-10-01,1597887.0
1983-01-01,1608036.0
1983-04-01,1652377.0
1983-07-01,1700844.0
1983-10-01,1759572.0
1984-01-01,1813139.0
1984-04-01,1870217.0
1984-07-01,1915438.0
1984-10-01,1977628.0
1985-01-01,2078562.0
1985-04-01,2142766.0
1985-07-01,2223574.0
1985-10-01,2329728.0
1986-01-01,2383822.0
1986-04-01,2436276.0
1986-07-01,2514104.0
1986-10-01,2592227.0
1987-01-01,2626546.0
1987-04-01,2706761.0
1987-07-01,2774485.0
1987-10-01,2818757.0
1988-01-01,2894766.0
1988-04-01,2967780.0
1988-07-01,3038213.0
1988-10-01,3102094.0
1989-01-01,3167159.0
1989-04-01,3242022.0
1989-07-01,3314100.0
1989-10-01,3386020.0
1990-01-01,3479871.0
1990-04-01,3541855.0
1990-07-01,3593752.0
1990-10-01,3646226.0
1991-01-01,3702063.0
1991-04-01,3758137.0
1991-07-01,3788997.0
1991-10-01,3855230.0
1992-01-01,3907015.0
1992-04-01,3944262.0
1992-07-01,3996745.0
1992-10-01,4056078.0
1993-01-01,4098211.0
1993-04-01,4159161.0
1993-07-01,4230313.0
1993-10-01,4305539.0
1994-01-01,4377943.0
1994-04-01,4456485.0
1994-07-01,4528346.0
1994-10-01,4630251.0
1995-01-01,4703850.0
1995-04-01,4786125.0
1995-07-01,4879837.0
1995-10-01,4953383.0
1996-01-01,5075523.0
1996-04-01,5166162.0
1996-07-01,5236815.0
1996-10-01,5316549.0
1997-01-01,5396636.0
1997-04-01,5478887.0
1997-07-01,5576476.0
1997-10-01,5656358.0
1998-01-01,5765428.0
1998-04-01,5888741.0
1998-07-01,5978997.0
1998-10-01,6110785.0
1999-01-01,6252009.0
1999-04-01,6394036.0
1999-07-01,6531319.0
1999-10-01,6680932.0
2000-01-01,6845481.0
2000-04-01,6973635.0
2000-07-01,7140402.0
2000-10-01,7248274.0
2001-01-01,7370392.0
2001-04-01,7552458.0
2001-07-01,7794112.0
2001-10-01,7891964.0
2002-01-01,8083855.0
2002-04-01,8233788.0
2002-07-01,8435816.0
2002-10-01,8668354.0
2003-01-01,8893596.0
2003-04-01,9251907.0
2003-07-01,9489001.0
2003-10-01,9749490.0
2004-01-01,9987178.0
2004-04-01,10281470.0
2004-07-01,10534126.0
2004-10-01,10880721.0
2005-01-01,11119369.0
2005-04-01,11439868.0
2005-07-01,11756823.0
2005-10-01,12053692.0
2006-01-01,12451039.0
2006-04-01,12806876.0
2006-07-01,13092411.0
2006-10-01,13347414.0
2007-01-01,13550059.0
2007-04-01,13857320.0
2007-07-01,14059720.0
2007-10-01,14243317.0
2008-01-01,14411699.0
2008-04-01,14362553.0
2008-07-01,14471122.0
2008-10-01,14163366.0
2009-01-01,14109435.0
2009-04-01,14084101.0
2009-07-01,14035615.0
2009-10-01,14002908.0
2010-01-01,13950894.0
2010-04-01,13892582.0
2010-07-01,13791523.0
2010-10-01,13770476.0
2011-01-01,13791266.0
2011-04-01,13740704.0
2011-07-01,13688594.0
2011-10-01,13662120.0
2012-01-01,13658872.0
2012-04-01,13624911.0
2012-07-01,13588463.0
2012-10-01,13553371.0
2013-01-01,13584497.0
2013-04-01,13598309.0
2013-07-01,13607613.0
2013-10-01,13766053.0
2014-01-01,13828917.0
2014-04-01,13882362.0
2014-07-01,13823837.0
2014-10-01,13866231.0
2015-01-01,13916972.0
2015-04-01,14026163.0
2015-07-01,14097775.0
2015-10-01,14077627.0
2016-01-01,14175183.0
2016-04-01,14287226.0
2016-07-01,14408691.0
2016-10-01,14487049.0
2017-01-01,14624099.0
2017-04-01,14760798.0
2017-07-01,14865129.0
2017-10-01,15032806.0
2018-01-01,15163456.0
2018-04-01,15270087.0
2018-07-01,15395213.0
2018-10-01,15499229.0
2019-01-01,15602038.0
2019-04-01,15774236.0
2019-07-01,15929525.0
2019-10-01,16080502.0
2020-01-01,16187138.0
2020-04-01,16165975.0
2020-07-01,16386578.0
2020-10-01,16616350.0
2021-01-01,16862873.0
2021-04-01,17552204.0
2021-07-01,17864281.0
2021-10-01,18203301.0
2022-01-01,18582955.0
2022-04-01,18931382.0
2022-07-01,19226338.0
2022-10-01,19392091.0
2023-01-01,19510385.0
2023-04-01,19659283.0
2023-07-01,19811355.0
2023-10-01,19920433.0
2024-01-01,20074366.0
2024-04-01,20216841.0
2024-07-01,20366245.0
2024-10-01,20253029.0
2025-01-01,20339616.0
2025-04-01,20485468.0
2025-07-01,20692857.0
